TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d040,KIST,5.0E9,STA,83631372,1,88,88,10000,0.6666667,85.0,0.37531668,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d040,KIST,5.0E9,SQA,122549703,1,88,88,10000,0.6666667,87.0,0.37531668,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d040,KIST,5.0E9,NA,86360431,1,88,88,10000,0.6666667,88.0,0.37531668,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d040,KIST,5.0E9,IDA,139133097,1,88,88,10000,0.6666667,87.0,0.37531668,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d040,KIST,5.0E9,ASTAR,3889292924,1,88,88,10000,0.6666667,46.0,0.37531668,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d040,KIST,5.0E9,VITRIVR,315082321,1,88,88,10000,0.6666667,69.0,0.37531668,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d040,KIST,5.0E9,CLUSTER,142901908,1,155,155,6201,2.0,93.0,0.60525185,0.33333334,10.666665,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d040,KIST,5.0E9,LNA,186450376,1,88,88,10000,0.6666667,87.0,0.37531668,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d000,KISV,5.0E9,STA,137244162,1,0,0,10002,1.0,76.0,0.33346665,0.5,1.0,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d000,KISV,5.0E9,SQA,174894887,1,0,0,10002,1.0,76.0,0.33346665,0.5,1.0,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d000,KISV,5.0E9,NA,166025610,1,0,0,10002,1.0,76.0,0.33346665,0.5,1.0,0.33333334
