TaskId,TaskType,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,SearchedObjectPositionSum,TotalObjectResults,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore,NumberCineastResults
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,STA,92110269,1,-1,-1,801,-1,2476,-1.0,95.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,SQA,126072979,1,-1,-1,801,-1,2476,-1.0,96.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,NA,128175103,1,-1,-1,801,-1,2476,-1.0,96.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,IDA,148293936,1,-1,-1,801,-1,2476,-1.0,95.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,VITRIVR,516480214,1,-1,-1,801,-1,2476,-1.0,93.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,CLUSTER,107966850,1,-1,-1,801,-1,1482,-1.0,97.0,0.8353576,0.75,12.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,LNA,69305402,1,-1,-1,801,-1,2476,-1.0,96.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,STA,699838006,1,5784,2653,2855,5784,20000,0.33333334,87.0,0.33333334,0.5,0.33333334,0.33333334,20000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,SQA,529777866,1,5784,2653,2855,5784,20000,0.33333334,89.0,0.33333334,0.5,0.33333334,0.33333334,20000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,NA,285979385,1,5784,2653,2855,5784,20000,0.33333334,91.0,0.33333334,0.5,0.33333334,0.33333334,20000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,IDA,408218120,1,5784,2653,2855,5784,20000,0.33333334,90.0,0.33333334,0.5,0.33333334,0.33333334,20000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,VITRIVR,1172580446,1,5785,2653,2855,5785,20000,0.33333334,71.0,0.33333334,0.5,0.33333334,0.33333334,20000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,CLUSTER,242228750,1,5922,2653,2855,5922,12400,0.33333334,96.0,0.53763443,0.5,12.33333,0.33333334,20000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,LNA,680432749,1,5784,2653,2855,5784,20000,0.33333334,87.0,0.33333334,0.5,0.33333334,0.33333334,20000
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,STA,244864702,1,3226,2422,2566,3226,20000,1.0,63.0,1.0,1.5,1.0,1.0,20000
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,SQA,137823913,1,3226,2422,2566,3226,20000,1.0,62.0,1.0,1.5,1.0,1.0,20000
