TaskId,TaskType,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,SearchedObjectPositionSum,TotalObjectResults,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore,NumberCineastResults
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,STA,66922883,1,-1,-1,801,-1,2476,-1.0,95.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,SQA,63824286,1,-1,-1,801,-1,2476,-1.0,96.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,NA,57828165,1,-1,-1,801,-1,2476,-1.0,96.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,IDA,64226358,1,-1,-1,801,-1,2476,-1.0,96.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,VITRIVR,3137736,1,-1,-1,0,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,CLUSTER,64670398,1,-1,-1,801,-1,1482,-1.0,98.0,0.8353576,0.75,12.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010100,KIST,LNA,52992150,1,-1,-1,801,-1,2476,-1.0,96.0,0.5,0.75,0.5,0.5,2476
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,STA,274747680,1,-1,-1,1643,-1,10000,-1.0,81.0,1.0,1.5,1.0,1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,SQA,468963067,1,-1,-1,1643,-1,10000,-1.0,78.0,1.0,1.5,1.0,1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,NA,375736903,1,-1,-1,1643,-1,10000,-1.0,79.0,1.0,1.5,1.0,1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,IDA,578868379,1,-1,-1,1643,-1,10000,-1.0,77.0,1.0,1.5,1.0,1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,VITRIVR,8035300,1,-1,-1,0,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,CLUSTER,471750746,1,-1,-1,1643,-1,5269,-1.0,85.0,1.8978933,1.0,190.0,1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,LNA,569862784,1,-1,-1,1643,-1,10000,-1.0,77.0,1.0,1.5,1.0,1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,STA,590355984,1,-1,-1,1916,-1,10000,-1.0,71.0,0.33333334,0.5,0.33333334,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,SQA,199026355,1,-1,-1,1916,-1,10000,-1.0,76.0,0.33333334,0.5,0.33333334,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,NA,127213444,1,-1,-1,1916,-1,10000,-1.0,77.0,0.33333334,0.5,0.33333334,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,IDA,402921228,1,-1,-1,1916,-1,10000,-1.0,74.0,0.33333334,0.5,0.33333334,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,VITRIVR,12809081,1,-1,-1,0,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,CLUSTER,283674516,1,-1,-1,1916,-1,6455,-1.0,83.0,0.51639557,0.33333334,11.666664,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,LNA,116408567,1,-1,-1,1916,-1,10000,-1.0,77.0,0.33333334,0.5,0.33333334,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f010300,KIST,STA,277831293,1,1141,667,2090,1141,10000,0.4,91.0,0.38086,0.6,0.6,0.2,10000
3584f2e1-e562-4e4c-bf25-809c9f010300,KIST,SQA,148891479,1,1141,667,2090,1141,10000,0.4,96.0,0.38086,0.6,0.6,0.2,10000
3584f2e1-e562-4e4c-bf25-809c9f010300,KIST,NA,281880339,1,1141,667,2090,1141,10000,0.4,94.0,0.38086,0.6,0.6,0.2,10000
3584f2e1-e562-4e4c-bf25-809c9f010300,KIST,IDA,175084494,1,1141,667,2090,1141,10000,0.4,96.0,0.38086,0.6,0.6,0.2,10000
3584f2e1-e562-4e4c-bf25-809c9f010300,KIST,VITRIVR,7882086,1,-1,-1,0,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f010300,KIST,CLUSTER,151491426,1,1679,667,2090,1679,6140,0.4,97.0,0.6202932,0.6,53.60001,0.2,10000
3584f2e1-e562-4e4c-bf25-809c9f010300,KIST,LNA,242723200,1,1141,667,2090,1141,10000,0.4,95.0,0.38086,0.6,0.6,0.2,10000
3584f2e1-e562-4e4c-bf25-809c9f020100,KIST,STA,116285720,1,9,199,1645,9,10000,0.6666667,85.0,0.33366668,0.5,0.6666667,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f020100,KIST,SQA,81467643,1,9,199,1645,9,10000,0.6666667,86.0,0.33366668,0.5,0.6666667,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f020100,KIST,NA,76767446,1,9,199,1645,9,10000,0.6666667,86.0,0.33366668,0.5,0.6666667,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f020100,KIST,IDA,134122545,1,9,199,1645,9,10000,0.6666667,85.0,0.33366668,0.5,0.6666667,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f020100,KIST,VITRIVR,114276114,1,-1,-1,0,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f020100,KIST,CLUSTER,137227954,1,289,189,1645,289,5433,1.6666667,94.0,0.61414814,0.33333334,26.66668,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f020100,KIST,LNA,135503128,1,9,199,1645,9,10000,0.6666667,85.0,0.33366668,0.5,0.6666667,0.33333334,10000
3584f2e1-e562-4e4c-bf25-809c9f020200,KIST,STA,309179026,1,171,363,1112,171,10000,0.5,83.0,0.266425,0.375,0.5,0.25,10000
3584f2e1-e562-4e4c-bf25-809c9f020200,KIST,SQA,89182997,1,171,363,1112,171,10000,0.5,86.0,0.266425,0.375,0.5,0.25,10000
3584f2e1-e562-4e4c-bf25-809c9f020200,KIST,NA,189657579,1,171,363,1112,171,10000,0.5,85.0,0.266425,0.375,0.5,0.25,10000
3584f2e1-e562-4e4c-bf25-809c9f020200,KIST,IDA,134973355,1,171,363,1112,171,10000,0.5,85.0,0.266425,0.375,0.5,0.25,10000
3584f2e1-e562-4e4c-bf25-809c9f020200,KIST,VITRIVR,2515525,1,-1,-1,0,-1,0,-1.0,0.0,NaN,-1.0,-1.0,-1.0,10000
3584f2e1-e562-4e4c-bf25-809c9f020200,KIST,CLUSTER,111917402,1,1310,363,1112,1310,3824,0.5,94.0,0.6967181,0.375,19.0,0.25,10000
