TaskId,TaskType,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,SearchedObjectPositionSum,TotalObjectResults,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,STA,52128529,1,0,0,1,0,2,1.0,100.0,1.0,1.5,1.0,1.0
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,SQA,88275318,1,0,0,1,0,2,1.0,99.0,1.0,1.5,1.0,1.0
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,NA,22679441,1,0,0,1,0,2,1.0,100.0,1.0,1.5,1.0,1.0
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,IDA,26491687,1,0,0,1,0,2,1.0,100.0,1.0,1.5,1.0,1.0
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,VITRIVR,59758098,1,0,0,1,0,2,1.0,100.0,1.0,1.5,1.0,1.0
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,CLUSTER,32390149,1,0,0,1,0,1,2.0,0.0,2.0,2.0,2.0,2.0
3584f2e1-e562-4e4c-bf25-809c9f010200,KIST,LNA,24673057,1,0,0,1,0,2,1.0,100.0,1.0,1.5,1.0,1.0
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,STA,285368528,1,10045,1649,1791,10045,10530,0.099165276,78.0,0.95314056,1.5,1.0983808,0.016498748
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,SQA,245525921,1,10045,1649,1791,10045,10530,0.099165276,78.0,0.95314056,1.5,1.0983808,0.016498748
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,NA,183187208,1,10045,1649,1791,10045,10530,0.099165276,78.0,0.95314056,1.5,1.0983808,0.016498748
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,IDA,371295963,1,10045,1649,1791,10045,10530,0.099165276,76.0,0.95314056,1.5,1.0983808,0.016498748
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,VITRIVR,541259320,1,10045,1649,1791,10045,10530,0.099165276,79.0,0.95311534,1.5,1.0,0.016498748
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,CLUSTER,212136008,1,5284,1649,1791,5284,5550,0.3604709,86.0,1.808391,1.5,190.0,0.016498748
3584f2e1-e562-4e4c-bf25-809c9f010400,KIST,LNA,265813123,1,10045,1649,1791,10045,10530,0.099165276,77.0,0.95314056,1.5,1.0983808,0.016498748
3584f2e1-e562-4e4c-bf25-80010518d001,KIST,STA,241674505,2,13,499,2708,13,13237,0.5,68.0,0.1901337,0.16666667,0.60818803,0.05993674
3584f2e1-e562-4e4c-bf25-80010518d001,KIST,SQA,461734143,2,0,204,2708,0,13243,0.84740484,66.0,0.1976571,0.16666667,0.84740484,0.05993674
3584f2e1-e562-4e4c-bf25-80010518d001,KIST,NA,232041444,2,0,194,2708,0,13240,0.8435956,69.0,0.18801002,0.25,0.8435956,0.05993674
3584f2e1-e562-4e4c-bf25-80010518d001,KIST,IDA,196372645,2,3,493,2708,3,13242,0.5,69.0,0.18830262,0.25,0.55729365,0.05993674
3584f2e1-e562-4e4c-bf25-80010518d001,KIST,VITRIVR,460245262,2,4,490,2708,4,13216,0.5,93.0,0.18801156,0.25,0.53431314,0.05993674
3584f2e1-e562-4e4c-bf25-80010518d001,KIST,CLUSTER,279808070,2,280,354,2708,280,8369,1.0,78.0,0.29742476,0.16666667,6.25,0.05993674
3584f2e1-e562-4e4c-bf25-80010518d001,KIST,LNA,141843124,2,0,269,2708,0,13240,0.77815354,69.0,0.18769883,0.25,0.77815354,0.05993674
3584f2e1-e562-4e4c-bf25-80010638d001,KIST,STA,241634483,2,56,385,2615,56,13162,0.5474049,88.0,0.22113162,0.3,0.6735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010638d001,KIST,SQA,159518561,2,120,420,2615,120,13237,0.5474049,93.0,0.2351936,0.2,0.6735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010638d001,KIST,NA,165898173,2,350,466,2615,350,13217,0.34740487,93.0,0.20826952,0.2,0.4735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010638d001,KIST,IDA,189035205,2,517,469,2615,517,13221,0.34740487,93.0,0.21107937,0.2,0.5003819,0.05993674
3584f2e1-e562-4e4c-bf25-80010638d001,KIST,VITRIVR,642089287,2,569,467,2615,569,12967,0.34740487,76.0,0.21238595,0.2,0.55,0.05993674
3584f2e1-e562-4e4c-bf25-80010638d001,KIST,CLUSTER,60378415,2,685,474,2615,685,8037,0.67723286,95.0,0.34638643,0.2,26.800005,0.05993674
3584f2e1-e562-4e4c-bf25-80010638d001,KIST,LNA,129702589,2,221,466,2615,221,13204,0.34740487,93.0,0.20642193,0.3,0.4735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010818d001,KIST,STA,377954364,2,0,429,3291,0,19872,0.7,91.0,0.19386071,0.3,0.7,0.1
3584f2e1-e562-4e4c-bf25-80010818d001,KIST,SQA,140001648,2,0,484,3291,0,19998,0.7,93.0,0.21972698,0.3,0.7,0.1
3584f2e1-e562-4e4c-bf25-80010818d001,KIST,NA,178510335,2,0,518,3291,0,19990,0.5,92.0,0.18099493,0.25,0.5,0.1
3584f2e1-e562-4e4c-bf25-80010818d001,KIST,IDA,131815963,2,0,522,3291,0,19995,0.5,93.0,0.1821878,0.16670561,0.5,0.1
3584f2e1-e562-4e4c-bf25-80010818d001,KIST,VITRIVR,878342537,2,39,528,3291,39,19824,0.5,68.0,0.18151063,0.25,0.6,0.1
3584f2e1-e562-4e4c-bf25-80010818d001,KIST,CLUSTER,191679915,2,279,509,3291,279,12581,1.0,93.0,0.28686646,0.2,26.800005,0.1
3584f2e1-e562-4e4c-bf25-80010818d001,KIST,LNA,82433467,2,0,515,3291,0,19981,0.5,93.0,0.179786,0.16666667,0.5,0.1
3584f2e1-e562-4e4c-bf25-80010918d001,KIST,STA,133718224,2,2247,1169,2634,2247,19011,0.5352863,82.0,0.3975437,0.5,0.7158571,0.008249374
3584f2e1-e562-4e4c-bf25-80010918d001,KIST,SQA,519790484,2,7403,1058,2634,7403,20470,0.54958266,88.0,0.5071329,0.75,0.7158571,0.008249374
