TaskId,TaskType,TotalTime,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-476d5f68d990,KIST,5.0E9,STA,524325220,1,7176,7176,10000,0.33333334,95.0,0.34673333,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d990,KIST,5.0E9,NA,66875551,1,7176,7176,10000,0.33333334,99.0,0.34673333,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d990,KIST,5.0E9,IDA,265517352,1,7176,7176,10000,0.33333334,97.0,0.34673333,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d990,KIST,5.0E9,VITRIVR,1026937419,1,7176,7176,10000,0.33333334,82.0,0.34673333,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d990,KIST,5.0E9,CLUSTER,402634267,1,3219,3219,5364,0.33333334,96.0,0.64640814,0.5,34.000015,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d990,KIST,5.0E9,LNA,139988171,1,7176,7176,10000,0.33333334,98.0,0.34673333,0.5,0.6666667,0.33333334
3584f2e1-e562-4e4c-bf25-476d5f68d991,KIST,5.0E9,STA,124501079,2,7176,7176,10000,0.16666667,99.0,0.17336667,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d991,KIST,5.0E9,NA,41435695,2,7176,7176,10000,0.16666667,99.0,0.17336667,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d991,KIST,5.0E9,IDA,84620275,2,7176,7176,10000,0.16666667,99.0,0.17336667,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d991,KIST,5.0E9,VITRIVR,246982358,2,7176,7176,10000,0.16666667,90.0,0.17336667,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d991,KIST,5.0E9,CLUSTER,61854616,2,3219,3219,5364,0.16666667,99.0,0.32320407,0.25,17.000008,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d991,KIST,5.0E9,LNA,34043430,2,7176,7176,10000,0.16666667,99.0,0.17336667,0.25,0.33333334,0.16666667
3584f2e1-e562-4e4c-bf25-476d5f68d992,KIST,5.0E9,STA,77428381,3,7176,7176,10000,0.11111111,100.0,0.11557778,0.16666667,0.22222222,0.11111111
3584f2e1-e562-4e4c-bf25-476d5f68d992,KIST,5.0E9,NA,44248799,3,7176,7176,10000,0.11111111,99.0,0.11557778,0.16666667,0.22222222,0.11111111
3584f2e1-e562-4e4c-bf25-476d5f68d992,KIST,5.0E9,IDA,40415555,3,7176,7176,10000,0.11111111,99.0,0.11557778,0.16666667,0.22222222,0.11111111
3584f2e1-e562-4e4c-bf25-476d5f68d992,KIST,5.0E9,VITRIVR,230624513,3,7176,7176,10000,0.11111111,90.0,0.11557778,0.16666667,0.22222222,0.11111111
3584f2e1-e562-4e4c-bf25-476d5f68d992,KIST,5.0E9,CLUSTER,46043784,3,3219,3219,5364,0.11111111,99.0,0.21546939,0.16666667,11.333339,0.11111111
3584f2e1-e562-4e4c-bf25-476d5f68d992,KIST,5.0E9,LNA,39368668,3,7176,7176,10000,0.11111111,99.0,0.11557778,0.16666667,0.22222222,0.11111111
3584f2e1-e562-4e4c-bf25-476d5f68d998,KIST,5.0E9,STA,352800091,9,-1,-1,19681,-1.0,94.0,0.04303267,0.037037037,0.16666667,0.027777778
3584f2e1-e562-4e4c-bf25-476d5f68d998,KIST,5.0E9,NA,201190388,9,-1,-1,25504,-1.0,74.0,0.0404011,0.055555556,0.1290978,0.027777778
3584f2e1-e562-4e4c-bf25-476d5f68d998,KIST,5.0E9,IDA,196060864,9,-1,-1,24864,-1.0,72.0,0.04226439,0.055555556,0.12831166,0.027777778
3584f2e1-e562-4e4c-bf25-476d5f68d998,KIST,5.0E9,VITRIVR,1146719349,9,-1,-1,22527,-1.0,89.0,0.04872137,0.037037037,0.16666667,0.027777778
3584f2e1-e562-4e4c-bf25-476d5f68d998,KIST,5.0E9,CLUSTER,121748491,9,-1,-1,14318,-1.0,80.0,0.061140988,0.055555556,2.3055556,0.027777778
3584f2e1-e562-4e4c-bf25-476d5f68d998,KIST,5.0E9,LNA,171110393,9,-1,-1,24809,-1.0,75.0,0.038385946,0.037037037,0.12756035,0.027777778
3584f2e1-e562-4e4c-bf25-476d5f68d993,KIST,5.0E9,STA,543059729,4,8651,8651,33703,0.083333336,88.0,0.069638334,0.0625,0.32142857,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d993,KIST,5.0E9,NA,218140752,4,4578,4578,38007,0.041833535,89.0,0.030763043,0.027777778,0.12954913,0.015873017
3584f2e1-e562-4e4c-bf25-476d5f68d993,KIST,5.0E9,IDA,259326363,4,1611,1611,38360,0.14269558,88.0,0.07175192,0.09398626,0.31870928,0.035714287
3584f2e1-e562-4e4c-bf25-476d5f68d993,KIST,5.0E9,VITRIVR,1588690583,4,5105,5105,34922,0.11309524,80.0,0.079169296,0.107142866,0.5,0.035714287
